,RMSE,MAE,Average Accuracy,Accuracy Deviation
Acadia Valley AGCM,3.9062776558361474,3.124214338759581,0.7669243911049815,0.2675775366914717
Atlee AGCM,3.597946208181002,2.7759094522024195,0.8244824594187398,0.20768185867141972
Bassano AGCM,3.5176250583692226,2.7038432210683823,0.8123698371877303,0.19705428887481732
Beiseker AGCM,4.513504374204674,3.4990990702218068,0.5925871045481795,0.7272508098323389
Buffalo AGCM,3.9937418480075335,3.2077193518479663,0.80656480007288,0.13278790008345723
Bull Springs AGCM,3.4543120022257257,2.6816521969934306,0.7753665450207913,0.2872739422466618
Cabin Lake AGCM,3.2358309260085947,2.5186651427298785,0.8407802497601755,0.11215335825088193
Cappon AGCM,3.491708399856413,2.5540007342894873,0.7987412558079554,0.17206689728102242
Cereal AGCM,4.403794219136506,3.050110531349977,0.7743520694394583,0.3144310772196813
Champion AGDM,3.901781256178837,3.157964352766673,0.7607908906160775,0.30084626457744257
Finnegan AGCM,3.7949984474593643,2.9080976168314616,0.7726122267648636,0.236132038500965
Homestead Coulee AGCM,4.0074883333980535,3.3925588444030534,0.5378523024154376,0.7336908387543306
Hussar AGDM,3.65244833037883,3.012050002068281,0.8481888693763057,0.10266344225624682
Iddesleigh AGCM,2.8907968792992906,2.270385318621993,0.838222705016207,0.13774361372159594
Lathom AGCM,3.203574937418617,2.588617161599298,0.8011977692863615,0.2756786231214082
Mossleigh AGCM,3.812188570070174,2.752820245673259,0.839900238743215,0.13150556895689294
Oyen AGDM,4.342922523504115,3.5960441095133624,0.7738997425999136,0.1634493270938651
Patricia AGCM,3.8608234993328683,2.8016260930647454,0.8046022289426822,0.1427282955077394
Pollockville AGDM,2.3008446623633083,1.8304946572209397,0.8477665905395113,0.18597807052025153
Queenstown,3.223731409896437,2.3740595664829014,0.846996605227502,0.12005845501306683
Rainier AGCM,3.1123007603026527,2.3128871894131104,0.8410881648605698,0.12892162488816186
Ralston AGCM,4.282343181383543,3.3717326376587153,0.7936195777503818,0.23277296004216308
Rolling Hills AGCM,3.5235852618640924,2.7039929923911887,0.8096052078984267,0.16742723438993176
Rosemary IMCIN,2.5420480383725406,2.0986218091100453,0.8215216436572848,0.18006569789255533
Schuler AGDM,4.496211508083406,3.4711422632137934,0.7466523337240195,0.24573255834095864
Sedalia AGCM,3.558429550647183,2.5727256044745443,0.8441230458890677,0.1253379843434863
Social Plains AGCM,3.670618331841981,2.61128326356411,0.8591241850735732,0.0995505437335572
Standard AGCM,3.8278445253240223,3.014860790471236,0.8323584152766078,0.1089375885050066
Strathmore IMCIN,3.7430556029005304,2.645599287748337,0.7942751416463741,0.24768564377024715
Sunnynook AGCM,3.8435416576945203,2.8028289916614693,0.8217790468001837,0.15464529557844356
Tide Lake AGCM,3.0360125156608295,2.20536713997523,0.8299294150047083,0.25811947071938
Travers AGCM,3.8936575746771047,2.846379884208242,0.8311372969486089,0.17853900745909676
Verger AGCM,3.461190380325775,2.7036396864801646,0.7999062265116458,0.16745256967572325
Vulcan AGCM,3.1613405315532748,2.2882458489388227,0.8120763320798515,0.19687522937009086
