,RMSE,MAE,Average Accuracy,Accuracy Deviation
Acadia Valley AGCM,3.608013550641835,2.870045483422776,0.7767511500738095,0.21409045138692004
Atlee AGCM,3.575355859683787,2.7895103954399625,0.8242558099871384,0.1913148049569674
Bassano AGCM,2.914572198503611,2.235704284037153,0.8392377668123676,0.18865848020850737
Beiseker AGCM,4.149225443416513,3.3677044823920976,0.6118906055934571,0.689204613927257
Buffalo AGCM,4.124991373826771,3.1314010463654993,0.7971066486147488,0.19256915502712996
Bull Springs AGCM,3.342830916412498,2.6074672911316155,0.783040696086102,0.2784277147320216
Cabin Lake AGCM,3.435490965681298,2.6792673199127117,0.8389166350097125,0.11981200956169036
Cappon AGCM,3.3998665469829743,2.4715662001321714,0.8123900483809845,0.15596273082582324
Cereal AGCM,4.353405987908923,3.24517603268226,0.7670150345528666,0.25100344758117993
Champion AGDM,3.7763644373016523,3.0390084770818553,0.7533727119122883,0.3807645746737468
Finnegan AGCM,4.017666430306617,3.0654403852919736,0.7484108400437924,0.30550527337500283
Homestead Coulee AGCM,4.417289683080044,3.6165206710652757,0.5148359490082138,0.7788244542774753
Hussar AGDM,3.9954714282747754,3.3329017495115596,0.8326434722546221,0.12334795911523813
Iddesleigh AGCM,2.9866212456871724,2.407109845181306,0.8232171034221926,0.15557746217835788
Lathom AGCM,3.3621858123488844,2.820485663972795,0.780672062753542,0.30515731465256873
Mossleigh AGCM,4.205888000377735,3.265426290904482,0.7940108201911984,0.16747965019422179
Oyen AGDM,4.9383514250380856,4.260185636952519,0.7254381412926139,0.18016522569876528
Patricia AGCM,3.5513192386643166,2.515530525520444,0.8083602238737594,0.19086611338109194
Pollockville AGDM,2.482951560250476,1.9571092986191312,0.8543396745091562,0.12670302639660483
Queenstown,3.1839120625724724,2.5602903969585897,0.8012772870526162,0.21911596812001494
Rainier AGCM,3.212268745620206,2.285619263226787,0.844354702330786,0.138207318706196
Ralston AGCM,4.532422549494507,3.486044659465551,0.7889483955818479,0.19885680391578078
Rolling Hills AGCM,3.7873615467268107,2.9911678791046143,0.7914625108543664,0.17440411321417
Rosemary IMCIN,2.494928662027672,2.149587282910943,0.8251439653681704,0.14735137561931907
Schuler AGDM,4.414818385715972,3.5042697491745156,0.7623333380579569,0.19419098316923886
Sedalia AGCM,4.166920326462067,3.091561006506284,0.7980043983473591,0.2405914643778928
Social Plains AGCM,3.2843594072097333,2.747782890871167,0.8421844174637341,0.10430899396326565
Standard AGCM,4.000249940264756,3.2053608571489653,0.8323748854280881,0.09375038661649021
Strathmore IMCIN,3.7867864662264066,2.5672880289455255,0.7973713818111865,0.23313813542737719
Sunnynook AGCM,4.624494813432079,3.228764151285092,0.7921093928100157,0.2040372128049418
Tide Lake AGCM,3.0802408843466518,2.4815463215112685,0.8062840368807348,0.2436825987587264
Travers AGCM,4.341254924196008,2.9914586155364913,0.8310099590353166,0.16074527775178457
Verger AGCM,2.989223708931068,2.4043373804539443,0.8215369541815389,0.13675116428168513
Vulcan AGCM,3.2856549313043004,2.4382237002874416,0.7819578101432865,0.23037401429722984
