,RMSE,MAE,Average Accuracy,Accuracy Deviation
Acadia Valley AGCM,3.347627918377367,2.7671785383174816,0.796652585355923,0.1590809819394836
Atlee AGCM,3.9741929004141876,3.2897146542246145,0.7488991539636495,0.3598195964793664
Bassano AGCM,2.7349945565386906,2.1856701197723547,0.8777874595677566,0.08476795605144569
Beiseker AGCM,4.517821950433729,3.2789213307977962,0.7463412141400976,0.2606780789273457
Buffalo AGCM,3.8451687299351516,3.0590959024926025,0.8003068825030044,0.179340953985993
Bull Springs AGCM,3.8413819732754675,3.0001674316823483,0.7268870850655615,0.38778609113534696
Cabin Lake AGCM,3.6062710935845,2.8912423754731815,0.8058117437457325,0.15336258079538054
Cappon AGCM,4.025835969903137,3.133957207047691,0.7602581948296575,0.19468906503484695
Cereal AGCM,4.416350347771946,3.402031961393853,0.7439789884310809,0.259268473558092
Champion AGDM,4.1281101298675065,3.1533361177891495,0.7749883444456971,0.273933273334015
Finnegan AGCM,3.552535385741907,2.806527321226895,0.7787656343092575,0.17754821420222353
Homestead Coulee AGCM,3.7581583086253483,2.8876817738171665,0.7007275980715214,0.3854280774051878
Hussar AGDM,4.0061646774028485,3.110802968094746,0.8481246666225978,0.11371041417230711
Iddesleigh AGCM,3.3782692209526117,2.5169674987594286,0.8121945600304732,0.23028787981308377
Lathom AGCM,2.975287830592934,2.4377539000784356,0.8164986452499874,0.2137474751837916
Mossleigh AGCM,2.9012570454192406,2.5015457599113384,0.8410778766913218,0.11759158099752032
Oyen AGDM,3.861044496736472,3.222886027395725,0.8009002538989165,0.1502003549651998
Patricia AGCM,3.307428593101948,2.4991636771708725,0.818710734489517,0.18805718020921802
Pollockville AGDM,3.1770676453109523,2.471682140789926,0.8293565449055336,0.12967329918677112
Queenstown,3.0908623426297805,2.111020843400426,0.8481687044275946,0.19921344246586165
Rainier AGCM,3.293018814066463,2.5609348269800347,0.8091760939269002,0.14380664289115
Ralston AGCM,4.198572570814487,3.2929600148151317,0.8092841758215055,0.1631568007493219
Rolling Hills AGCM,4.05391355704371,2.8561532493680715,0.8338220772556691,0.11560019885587179
Rosemary IMCIN,2.3651900937778745,1.997384661063552,0.8303615360591879,0.16571994536432494
Schuler AGDM,3.539871123580857,2.514922710135579,0.8262703887219771,0.17931213413329472
Sedalia AGCM,3.9494667158191157,2.9909220482533176,0.7888051728165026,0.26344060050567447
Social Plains AGCM,3.0676499267489525,2.3928016955653826,0.8582961303280536,0.10240416548718358
Standard AGCM,3.6840926680658836,2.968347652256489,0.8396880809642494,0.08797243480618851
Strathmore IMCIN,3.60773402337622,2.5134072887400785,0.8285891322897,0.15340719916731843
Sunnynook AGCM,3.9395418168417446,2.9233994374672574,0.809726755667096,0.1606157887191054
Tide Lake AGCM,3.4786591531159208,2.6932373847812414,0.8172659225689919,0.1767430030724572
Travers AGCM,3.7690297112010493,2.662761411319176,0.8561459529022912,0.1280723534762904
Verger AGCM,2.65398934831267,2.2274906409283477,0.8295714988387318,0.12303199845820373
Vulcan AGCM,3.140177279390603,2.481729860417545,0.7966452965786172,0.191147806747971
