,RMSE,MAE,Average Accuracy,Accuracy Deviation
Acadia Valley AGCM,4.579193418759177,3.7299540519403913,0.643044749094134,0.4535792602377373
Atlee AGCM,6.9700871584185835,5.171884301180641,0.7071256627736116,0.2523055557851568
Bassano AGCM,5.332334799329001,4.2014824008569125,0.6430926681651058,0.4205843153792893
Beiseker AGCM,5.184605358611252,4.430754120865216,0.2710271066127473,1.0298107863493808
Buffalo AGCM,6.746926561271536,4.669084989652037,0.7415722768351128,0.1771112715012343
Bull Springs AGCM,6.64822510474844,4.628700125714143,0.769705153553004,0.1576140572201635
Cabin Lake AGCM,5.060297222270331,3.748197610552112,0.7046249192146077,0.2835485744491251
Cappon AGCM,6.132795944856557,5.122147045657039,0.07202024129505942,1.4545637465028918
Cereal AGCM,5.730119161582364,4.472408613562584,0.5925746403168906,0.43472181160086815
Champion AGDM,6.302247301198573,4.7966663188611465,0.5423119128102488,0.9417211396693668
Finnegan AGCM,5.048251475735148,4.273715321098765,0.437253266808869,0.8390152589235689
Homestead Coulee AGCM,6.073877895151021,4.894608751901736,0.32826507270615285,0.9302757370418187
Hussar AGDM,6.282273440138351,5.100508105009794,0.731197207867265,0.20313191949938544
Iddesleigh AGCM,5.091271269645066,4.3148811284452675,0.7068882339478646,0.21735779460860813
Lathom AGCM,5.026070151115331,3.996438738486419,0.5931930343107177,0.9450669222349124
Mossleigh AGCM,7.396477412144495,5.861972150330742,0.6244382914472927,0.277265577232945
Oyen AGDM,5.083872491981052,3.9019727489600577,0.716316304139385,0.33456189317736035
Patricia AGCM,5.669460917330996,4.470413153742751,0.600081462817503,0.3377817014559307
Pollockville AGDM,4.619176557871245,3.612527313952645,0.6558931462060494,0.3706524129739578
Queenstown,5.7667362167384395,4.680115836734573,0.6205943856663318,0.4418624168644338
Rainier AGCM,5.4737250243713795,3.683305263208846,0.6767325267605674,0.4768048224473775
Ralston AGCM,5.2066954578989755,3.957773237551252,0.7840435410193959,0.15293097514972892
Rolling Hills AGCM,4.703612170095127,3.789263714601596,0.6952877751053245,0.2941696811186726
Rosemary IMCIN,4.183617424605904,3.191156347716848,0.6908418294916435,0.47769874868789347
Schuler AGDM,6.45377582868059,5.378518793173134,0.5112490839240487,0.4874545510289068
Sedalia AGCM,6.142206492804486,4.577120583007733,0.5410219093836038,0.7380339927271149
Social Plains AGCM,5.868153994041498,4.363724219799042,0.7639797128804202,0.16419430599905557
Standard AGCM,6.287960237000325,5.335699532118936,0.6243646137816942,0.3999393057511868
Strathmore IMCIN,5.221046861197426,3.5220414837201437,0.7701255362129907,0.20631299707334172
Sunnynook AGCM,6.173387110085009,5.405729571729898,0.44749582437862606,0.5444016544161009
Tide Lake AGCM,5.110522300295775,4.471622664046785,0.5660345830936042,0.5199126079293818
Travers AGCM,6.541733158626258,5.35044796479245,0.6479651977191637,0.41232357968142624
Verger AGCM,4.84330464032096,3.676760548229019,0.7232488028863806,0.21701763518435205
Vulcan AGCM,6.238357209462041,5.387930889117221,0.37158568009458287,0.8952635245307329
