,RMSE,MAE,Average Accuracy,Accuracy Deviation
Acadia Valley AGCM,5.315450511166397,4.1705301801053185,0.6225288405408328,0.4393675883309166
Atlee AGCM,6.651253183544268,5.191089515263836,0.6790342290662718,0.30777032087513573
Bassano AGCM,5.3343481308911525,4.272378743502001,0.6045207411730821,0.5347202225206966
Beiseker AGCM,6.204364257144611,5.175702643487602,0.14029594240889906,1.1869333876471386
Buffalo AGCM,6.745274367574362,5.393535876149932,0.6590589653963934,0.25274513041429075
Bull Springs AGCM,6.447055987552132,4.7636212309201555,0.7451440421767522,0.17185519292011708
Cabin Lake AGCM,4.868219350696381,3.7240288015455008,0.6896099369884451,0.2913840376267206
Cappon AGCM,6.087300388896151,5.001872158174714,0.08276698238448679,1.4468774412852972
Cereal AGCM,5.858131434738512,4.404360255847375,0.6045664226029575,0.46889476717329215
Champion AGDM,5.673900296283832,4.447092811701198,0.5439918614465213,1.0542360866330578
Finnegan AGCM,5.682037922674123,4.704029321918885,0.30631031290248667,1.1064115133721448
Homestead Coulee AGCM,6.4764347728088705,5.505970783003916,0.2642395039951874,0.9069343463520783
Hussar AGDM,6.2577520803503885,5.431213016311328,0.7156171450876764,0.1645425551558258
Iddesleigh AGCM,5.320640499004825,4.629434794311722,0.7036939943285252,0.173353064918204
Lathom AGCM,5.357325603636123,4.338369514327496,0.5343986631578594,1.124707074515665
Mossleigh AGCM,8.147051782660542,6.655935870235165,0.5786987441605692,0.25524233427808557
Oyen AGDM,5.474340869749961,4.486771779879928,0.6560202996825115,0.3915818347242474
Patricia AGCM,6.137095931759509,4.926413827513655,0.5174985086046832,0.44852224972496474
Pollockville AGDM,5.104360507694614,4.081629046797753,0.5819964163673893,0.4881899401460558
Queenstown,5.4845529791768275,4.481706097597877,0.594607153335058,0.5525114962075834
Rainier AGCM,5.94646098511554,3.936163640456895,0.6483125487918655,0.5343360230260487
Ralston AGCM,6.2295398320611595,4.68610864803195,0.7711341796374097,0.1390824266498761
Rolling Hills AGCM,4.6012835318658185,3.7471752131978673,0.7209455536067163,0.2762667588726287
Rosemary IMCIN,4.0896114909208094,2.9518776067843038,0.7193312351225212,0.4789995609129131
Schuler AGDM,7.329480746517806,5.953450467375418,0.4804421266489882,0.545220417819545
Sedalia AGCM,6.222850629826639,4.688537039359411,0.5292095973344016,0.7784283359813988
Social Plains AGCM,5.8107250508055435,4.348228628685077,0.7497909762530829,0.1870204704896015
Standard AGCM,6.7374627735222195,5.795912513571481,0.5613238069817036,0.5166014210681384
Strathmore IMCIN,5.056570052847169,3.325509000569582,0.7671882769750907,0.21135672861140997
Sunnynook AGCM,6.268854870020905,5.280294477939606,0.45624557579499914,0.563593199257314
Tide Lake AGCM,4.989161104687615,4.179129046512147,0.5963628917855915,0.4784734362311416
Travers AGCM,7.193111667111756,5.735619172081352,0.6098396184340422,0.4850730816564219
Verger AGCM,4.66604031890132,3.8254455042382083,0.6648074464503366,0.35552690723968805
Vulcan AGCM,6.176050853199147,5.372181140817702,0.3990253432082955,0.8213484253753157
