,RMSE,MAE,Average Accuracy,Accuracy Deviation
Acadia Valley AGCM,4.475771200482667,3.8734934103675185,0.6137402761536748,0.5100731113871956
Atlee AGCM,5.83201081519261,4.508412465328972,0.7296863186852887,0.22556357269981117
Bassano AGCM,5.384292626014513,4.195907589482764,0.6424339338656749,0.4099365136353754
Beiseker AGCM,5.82314896946135,4.675794540594022,0.355908270045499,0.8125660778705655
Buffalo AGCM,6.068976422960394,4.278844519828756,0.7287654543076301,0.2936105910081738
Bull Springs AGCM,5.555820003294779,4.201167879998684,0.7741385238406259,0.13925294025784293
Cabin Lake AGCM,5.109737582488921,4.112263608972231,0.6657502250036504,0.2770419669541271
Cappon AGCM,5.158995671233159,4.2670883872856695,0.32779605305423615,1.0157834123138652
Cereal AGCM,5.095152790371738,4.071917397156358,0.6700402769371088,0.3265398731611802
Champion AGDM,6.368099312831432,4.836737378748754,0.6067428927537987,0.5782294457172545
Finnegan AGCM,6.286345164986886,5.426317822809021,0.3852990676730785,0.7292955579858876
Homestead Coulee AGCM,5.786336527855301,4.703824998966108,0.42489860384798633,0.7380772092296217
Hussar AGDM,5.793214281710013,4.8315944142639635,0.727029756778267,0.23013676229249794
Iddesleigh AGCM,4.589405458573411,3.7887739182760316,0.757304669541762,0.17185533547127987
Lathom AGCM,5.488687763663511,4.386050363412748,0.5915680002449604,0.8108507268232246
Mossleigh AGCM,6.369114701785529,5.087938341250022,0.6879815144926766,0.2245538059424169
Oyen AGDM,5.208324599087636,3.766607064877947,0.7271435447854763,0.3251954876075619
Patricia AGCM,4.907077685189705,3.923187627022465,0.6708384951050862,0.22947095946681365
Pollockville AGDM,4.826098914725191,3.604004906738798,0.6656967597917894,0.3846347153877507
Queenstown,5.762764713314925,4.4281225034346186,0.6661566308347513,0.29741537601491086
Rainier AGCM,6.176749909295712,4.191201385793587,0.6777322138148012,0.3557283683879786
Ralston AGCM,5.215999641118015,3.6025026621917884,0.8003317109673773,0.1640995316868422
Rolling Hills AGCM,4.263544673761203,3.4030655428767203,0.7466564773782888,0.2509136027279361
Rosemary IMCIN,4.490871088854906,3.49778031638513,0.7102800618421924,0.27290391557279153
Schuler AGDM,6.716434537846565,5.433823133570453,0.5071020049083447,0.4519676231451741
Sedalia AGCM,6.146243511955707,4.727974830940366,0.5524935511490319,0.6818807538821741
Social Plains AGCM,4.4942009672206344,3.596039842565854,0.795025229754724,0.14095579451798565
Standard AGCM,5.645371487479479,5.087214239127934,0.5766658760613573,0.5188607777208599
Strathmore IMCIN,5.353117281669203,3.7728729261706273,0.7268704333172755,0.2705203447335352
Sunnynook AGCM,5.987249138325155,4.8978541901956,0.5216457891277106,0.489016021867958
Tide Lake AGCM,4.782715517469048,3.9437075863902766,0.6727649960247145,0.35124763261769665
Travers AGCM,5.9598221046350055,5.001968801145752,0.6836741110699435,0.3140701467847753
Verger AGCM,5.094464096184112,3.9497468107690414,0.6868680440227385,0.23989408162402617
Vulcan AGCM,5.65056052733862,4.641876318367819,0.46282944733195897,0.9195770980854424
