,RMSE,MAE,Average Accuracy,Accuracy Deviation
Acadia Valley AGCM,5.364062176261655,3.9912459223841625,0.6768888562036081,0.39193789788558675
Atlee AGCM,4.940781842740325,3.484871902068456,0.8248274823072742,0.11521686010810966
Bassano AGCM,4.711901565899675,3.6520324096083643,0.75586086781525,0.22709643140617017
Beiseker AGCM,5.348257666181781,4.056125882974205,0.42560845565606076,0.8855881662225427
Buffalo AGCM,5.745534064233783,4.694659331503014,0.6948988010207368,0.2659120980556558
Bull Springs AGCM,5.214692115498933,3.766355026761691,0.7870968630155314,0.161769895453213
Cabin Lake AGCM,3.841244028401226,2.939158724869291,0.7953317029777364,0.15693860817889968
Cappon AGCM,4.349770880287623,3.153118874691427,0.6158319740709052,0.5428666181089908
Cereal AGCM,4.939678380316226,3.832300368696451,0.7005471041623328,0.3342987132670821
Champion AGDM,5.221992390169361,3.816728079256912,0.7065969055334299,0.34080313213491786
Finnegan AGCM,3.8777249615789833,3.185942193244894,0.7551321199345427,0.16870015192004684
Homestead Coulee AGCM,5.247115390947522,4.330647393409163,0.5175414768268748,0.572389649036637
Hussar AGDM,6.065317048285192,5.022409400095542,0.7214171516419788,0.23186703797881286
Iddesleigh AGCM,4.699972452757625,3.8523538591961066,0.7620388690967973,0.15499136466974942
Lathom AGCM,4.078363213465576,3.3431662243790923,0.7087568514780839,0.5699923659679438
Mossleigh AGCM,5.338654519399575,4.076739145970593,0.6829196308051948,0.5881987148140281
Oyen AGDM,4.730361180927963,3.8466464610149464,0.6945683828085389,0.35806929710014285
Patricia AGCM,3.9245358329414244,3.1292761348808806,0.7078743315735755,0.28553412918548077
Pollockville AGDM,3.7923664402311696,3.0862249874820313,0.7423192376095036,0.19931396875499977
Queenstown,4.522974045581585,3.5510576790509125,0.7365892986233664,0.314958781912119
Rainier AGCM,3.9358573968786583,3.095158870642384,0.7285786208289786,0.2625940092904847
Ralston AGCM,5.551223531605815,4.125139035160343,0.7668781739530489,0.2070453170626031
Rolling Hills AGCM,4.725008313614472,3.759463490297397,0.722824647565051,0.22948875868686863
Rosemary IMCIN,3.926024250700183,3.324211999773979,0.6835027940833119,0.2924006692203733
Schuler AGDM,5.00763174556653,4.10703247647422,0.5096233362910296,1.1074076732756564
Sedalia AGCM,4.861113206939402,3.847834791243076,0.6880198827169381,0.34709103913553624
Social Plains AGCM,4.306417224053158,3.532163269321124,0.7907510368624459,0.11740254052233648
Standard AGCM,5.464793142973361,4.446364529492954,0.6981020710042138,0.34686967487957104
Strathmore IMCIN,4.273943586423567,2.9818758055567742,0.812218881728161,0.14486054040673016
Sunnynook AGCM,5.431548276101984,4.411801807954907,0.6267216190786647,0.45867858109123144
Tide Lake AGCM,4.359088151769792,3.61573458177348,0.7299814236515537,0.2569792397958979
Travers AGCM,5.513611114207498,4.109705176328619,0.7628805380024246,0.2728596016193161
Verger AGCM,4.018404827338776,3.123348716956874,0.6947177038051887,0.5212873360364554
Vulcan AGCM,4.497507907277031,3.6418512245640158,0.6095297765402318,0.5555439036542569
