,RMSE,MAE,Average Accuracy,Accuracy Deviation
Acadia Valley AGCM,5.15093875275261,3.8256292161221306,0.6674183461986692,0.3971714544497537
Atlee AGCM,5.0053031811586415,3.914629027247429,0.7716094947323952,0.16798370795855624
Bassano AGCM,5.038143479961289,3.8554197801897923,0.7374222802028239,0.27240578405095967
Beiseker AGCM,5.263216102170149,4.114475282242832,0.41127897699700194,0.9627032290487809
Buffalo AGCM,5.664690677577178,4.4420717058703305,0.6729823888069281,0.31839941553404794
Bull Springs AGCM,5.728554501441686,4.433477542673548,0.7322406577394838,0.18965845154551594
Cabin Lake AGCM,3.7500389476784837,2.942017277205984,0.7967464427429687,0.14941227463887496
Cappon AGCM,4.717954397706966,3.4349855853244664,0.5725622561204928,0.5924733171573368
Cereal AGCM,4.844109683039595,3.912920862933,0.6672364542631547,0.3813052438353352
Champion AGDM,4.87982957624417,3.4458084114516776,0.7292204496037411,0.3512641817749887
Finnegan AGCM,4.384113626038829,3.504326509560148,0.7283791781926708,0.22389320051528663
Homestead Coulee AGCM,5.088887227872711,4.27876824522391,0.5460249232404089,0.4785772288456273
Hussar AGDM,6.021394266197728,5.1773562334477905,0.6966788933573753,0.2585384915815551
Iddesleigh AGCM,5.354229545016088,4.403333759307861,0.719995568704491,0.20247940721373364
Lathom AGCM,3.8831056140834987,3.1933884429124495,0.6825053775244193,0.7326532238657145
Mossleigh AGCM,5.706043156004458,4.470832756813616,0.6550017535920583,0.5287148909142507
Oyen AGDM,5.42388023682093,4.510468276714286,0.634534038772914,0.39828465858473633
Patricia AGCM,4.417200518649541,3.6996519764885307,0.6499620363525369,0.3238350952360399
Pollockville AGDM,3.831505235377917,3.2509145823617778,0.7345022772081028,0.19587712214538833
Queenstown,4.3393869313711795,3.206066368923833,0.7567403751265459,0.32436779923754133
Rainier AGCM,4.261487370836176,3.3651797351737818,0.7209960546098236,0.24025941731123834
Ralston AGCM,5.428224547082243,3.9412139234443506,0.7875613640700223,0.18078226383803075
Rolling Hills AGCM,5.106102048172487,3.9353293436268966,0.7194168671671116,0.21136557927397817
Rosemary IMCIN,3.8191252470732464,3.290245869010687,0.6701178004651503,0.3276560229693118
Schuler AGDM,5.560266109026472,4.4958907473677145,0.5044432269258128,1.0777258741561353
Sedalia AGCM,5.360251271585236,4.207467075934013,0.6486808842774785,0.375298489461825
Social Plains AGCM,4.284763544080326,3.673837520927191,0.7838496308700492,0.1189212810777188
Standard AGCM,6.232093304397907,5.110193147324026,0.6549250385113098,0.3816302223633975
Strathmore IMCIN,4.601015693301868,3.0474696663518746,0.8197486990515195,0.12723075983092536
Sunnynook AGCM,5.301328100624069,4.318310824160775,0.659270087486269,0.3358400322730039
Tide Lake AGCM,4.795910550951588,3.9893011141568424,0.7081491316316109,0.281642553796394
Travers AGCM,5.627420699154035,4.4292852658778425,0.7565847603226488,0.21985094506642694
Verger AGCM,4.028124666950757,3.305529899460574,0.6898162468959452,0.4629058502236207
Vulcan AGCM,4.393503472028073,3.5089721477280063,0.5945485168190419,0.5722957407776419
