,RMSE,MAE,Average Accuracy,Accuracy Deviation
Acadia Valley AGCM,4.753500905330352,3.830964363242189,0.6756080600009133,0.38176995305179623
Atlee AGCM,3.6231687417390095,2.698767197256287,0.8452416573078143,0.12845810660588794
Bassano AGCM,5.9965670307328205,4.254064419493079,0.7619038879147407,0.16573267557918717
Beiseker AGCM,5.61735767558441,3.9320440077766157,0.6693612377568259,0.2539907976130795
Buffalo AGCM,4.447767365629614,3.9214872986699145,0.684511492328148,0.36260935827758956
Bull Springs AGCM,4.335628651557803,3.3772181046505767,0.7864023802323216,0.17160417748947945
Cabin Lake AGCM,4.027783651863297,2.9830544931193193,0.7911745329646984,0.2072479088431118
Cappon AGCM,3.951905231272071,3.0822336529692014,0.6621258543881278,0.4033891960887077
Cereal AGCM,4.7509250316660605,3.8393756347397963,0.7059245537627971,0.27780999945005813
Champion AGDM,4.796773593958691,3.4001636377846203,0.7443074507046863,0.2596483115227965
Finnegan AGCM,4.986079989749111,3.9249891551211475,0.7133425576308583,0.1976061121487764
Homestead Coulee AGCM,5.026714483203187,3.64956358394896,0.6562986581225541,0.4031957884804764
Hussar AGDM,5.851003955247819,4.700966594119866,0.7243362318907152,0.27912026925382305
Iddesleigh AGCM,4.492977602742444,3.600818755229314,0.7749134735766728,0.15560142870167357
Lathom AGCM,4.281912453679801,3.6168079337415597,0.686872902544108,0.5416537398077398
Mossleigh AGCM,4.516272921808995,3.703438509783397,0.6970776005493741,0.49163828205988364
Oyen AGDM,4.349448542642912,3.5440887016554674,0.7181669880045264,0.3533008485885923
Patricia AGCM,3.570458387479751,2.8079106915121277,0.7274383207217023,0.2731833719571506
Pollockville AGDM,4.1952260680208555,3.190114861354232,0.7771720601505692,0.15570502705922853
Queenstown,4.552879059547018,3.673397489481916,0.7319032782098329,0.21280419871908124
Rainier AGCM,5.018153497156016,4.019074737280607,0.6797619072694877,0.26703281967463527
Ralston AGCM,5.831634871427462,3.9226347477485737,0.798032355922643,0.19456818321249697
Rolling Hills AGCM,5.175485015033772,4.331346357986331,0.7118062865020364,0.14747826131402383
Rosemary IMCIN,3.6357832540618915,3.115349423016111,0.690237904954757,0.29226195412337114
Schuler AGDM,5.25372378518249,4.184425602899864,0.5131640738918861,1.1393705719209593
Sedalia AGCM,4.993205697740927,3.9917284893492857,0.69005989530206,0.31303410921043123
Social Plains AGCM,4.14171287676611,3.4938822146194677,0.7667854098295933,0.18308646544817075
Standard AGCM,5.537129415585596,4.688073492608964,0.6604959466171734,0.37435104956577736
Strathmore IMCIN,4.806599653699399,3.5352545217921336,0.7763517221827498,0.16555673810115867
Sunnynook AGCM,5.412737399591791,4.276702770839135,0.677642583842527,0.3180668726478481
Tide Lake AGCM,4.581942610463295,3.7778340787937243,0.7474505396449259,0.19521837229278255
Travers AGCM,4.786801984456379,3.83119660752515,0.7853464488633857,0.17655529786926036
Verger AGCM,4.206074847602418,3.4240419583395125,0.722556021049304,0.25749594626651096
Vulcan AGCM,4.7816192510714774,3.616608171972136,0.6627540296595616,0.49456825073374555
