Station Name,Latitude,Longitude
Verger AGCM,50.8952,-111.9551
Rosemary IMCIN,50.8344,-112.0573
Bassano AGCM,50.8926,-112.4652
Lathom AGCM,50.6004,-112.2903
Patricia AGCM,50.7402,-111.6210
Finnegan AGCM,51.0532,-112.0974
Pollockville AGDM,51.1254,-111.7052
Iddesleigh AGCM,50.6800,-111.3086
Atlee AGCM,50.8102,-111.0056
Cabin Lake AGCM,51.0237,-111.2216
Sunnynook AGCM,51.3009,-111.3882
Homestead Coulee AGCM,51.2721,-111.8383
Tide Lake AGCM,50.4557,-111.3214
Hussar AGDM,51.1911,-112.5027
Buffalo AGCM,50.7981,-110.6858
Cappon AGCM,51.0670,-110.7969
Social Plains AGCM,50.7320,-110.2147
Acadia Valley AGCM,51.0664,-110.3172
Oyen AGDM,51.3797,-110.3552
Cereal AGCM,51.2758,-110.8244
Sedalia AGCM,51.5905,-110.7547
Schuler AGDM,50.3072,-110.0905
Bull Springs AGCM,50.3397,-110.4841
Ralston AGCM,50.0991,-111.2133
Rolling Hills AGCM,50.2651,-111.7011
Rainier AGCM,50.3667,-112.0999
Enchant 2 AGCM,50.1790,-112.4137
Travers AGCM,50.3038,-112.8626
Champion AGDM,50.2953,-113.3467
Vulcan AGCM,50.4064,-113.1663
Queenstown,50.7000,-112.9167
Mossleigh AGCM,50.6726,-113.3487
Strathmore IMCIN,51.0387,-113.2897
Standard AGCM,51.2284,-112.9821
Beiseker AGCM,51.3788,-113.3572
