,RMSE,MAE,Average Accuracy,Accuracy Deviation
Acadia Valley AGCM,3.663722932682549,2.685015547275543,0.7964577716605877,0.25695079279767036
Atlee AGCM,3.281109026133275,2.684015710093081,0.8255963226899684,0.22859135840978256
Bassano AGCM,3.960339758447413,2.8275196434309087,0.8275471590852648,0.1737001877840323
Beiseker AGCM,5.343487871195912,4.214483077405021,0.6377552588206726,0.4538146828296795
Buffalo AGCM,3.9638794775917394,3.0310138372083504,0.8015552643598678,0.17614002725096833
Bull Springs AGCM,3.172120273896478,2.268632617841164,0.7925927243359012,0.3175951600247098
Cabin Lake AGCM,3.21043545910462,2.5021010705580315,0.841062827928649,0.11982314652381455
Cappon AGCM,3.45732198470848,2.591833985472719,0.8108809512089269,0.1378047776519592
Cereal AGCM,4.359402886276542,3.2958102695643903,0.7595835044622056,0.23833086082609806
Champion AGDM,4.289481336428342,3.3741168454289436,0.7585093359619047,0.28713159351854256
Finnegan AGCM,3.757854172714587,2.8923014903441073,0.7593350736476516,0.2727904061608045
Homestead Coulee AGCM,3.65759104395996,3.046084044392531,0.59563380004697,0.617247182160466
Hussar AGDM,4.373902267304659,3.503784797588984,0.8299468947067149,0.12007974720101325
Iddesleigh AGCM,2.822697555372155,2.230919631943107,0.8447638909791586,0.12401440623551077
Lathom AGCM,3.2558568795189964,2.6712028527632357,0.774016591346323,0.35999560809771924
Mossleigh AGCM,3.651297657709102,2.796745046476523,0.8269163837541029,0.14037023694362732
Oyen AGDM,4.266695544276776,3.609606440613667,0.7684760681015749,0.16332634837593948
Patricia AGCM,3.471096152674156,2.5202109017719825,0.830301013598035,0.12993434279609192
Pollockville AGDM,3.5780115570172977,2.8178156280890105,0.821717786792,0.10731786337187325
Queenstown,3.382889754107354,2.3470376039544742,0.8535726434047471,0.15634212131878708
Rainier AGCM,3.2370784222730267,2.390873338157932,0.8266789948943759,0.1361361677176189
Ralston AGCM,5.236580750511412,4.222720965370536,0.7640655971083631,0.17803215782281825
Rolling Hills AGCM,4.458837870226512,3.0674497208247584,0.8227091892913606,0.15215503890428456
Rosemary IMCIN,2.65228474790418,2.2565975976487,0.8048795593235479,0.17858295401806176
Schuler AGDM,4.0238519326473465,2.9126277193427086,0.8104845684839307,0.16046257436395114
Sedalia AGCM,3.2932314677820003,2.548496853436033,0.8406110963971166,0.14076601966506722
Social Plains AGCM,3.152592353166388,2.549434242894252,0.8591949752334822,0.08202145012898251
Standard AGCM,3.933719212434539,3.174126529196898,0.8254664415649793,0.10840013419336793
Strathmore IMCIN,4.187171702945208,2.9916368311891954,0.7967781504940252,0.16396632108902187
Sunnynook AGCM,3.9389606986759813,3.0016890318443377,0.8161541917323561,0.1112160328529232
Tide Lake AGCM,3.647889380143384,3.010366326570511,0.7807060460774433,0.164570203609774
Travers AGCM,4.191826168904767,3.0396346371620893,0.8266441919712633,0.16624730259255596
Verger AGCM,3.3583907373650965,2.665045921628674,0.7989516012207601,0.17130983038261052
Vulcan AGCM,3.2293605911220418,2.4017893066629767,0.7856948754889291,0.2008191744309721
