,RMSE,MAE,Average Accuracy,Accuracy Deviation
Acadia Valley AGCM,4.64467611134926,3.8116402681089108,0.7299498818215113,0.2093653270445523
Atlee AGCM,4.244616404648074,3.344600786930985,0.8168028538921935,0.10798307858976071
Bassano AGCM,4.420859300525816,3.493455607816577,0.7373500788594934,0.20029249497870777
Beiseker AGCM,4.148487884180197,3.0650699541904034,0.6394504860752708,0.3265642630124178
Buffalo AGCM,4.551339392752471,3.617374385976129,0.7506970032068051,0.2650454355434677
Bull Springs AGCM,3.932829785998827,3.0370863324238195,0.7287621541277794,0.496449784760134
Cabin Lake AGCM,3.6780429474472003,2.8218838401966626,0.7658982829384476,0.20292098202792697
Cappon AGCM,3.4550446939426536,2.484638216217152,0.6024522537777467,0.7068537572513242
Cereal AGCM,3.3372943582829544,2.6275558041201696,0.7539635860114647,0.2529736695552264
Champion AGDM,5.613011897562518,4.4536993070195114,0.6291406003226767,0.4353958299497606
Finnegan AGCM,3.7212434746979572,2.6597022537142037,0.799657758630222,0.16357813264712118
Homestead Coulee AGCM,3.587792656854955,2.7139210212561817,0.7078757943357832,0.30930908920892136
Hussar AGDM,3.9869536741071427,3.2317935987893076,0.7682362198832642,0.2985340925428507
Iddesleigh AGCM,4.399545480237836,3.4087080874376827,0.7656052924255794,0.20984705723612074
Lathom AGCM,4.236570259941279,3.394505445534984,0.775089027601286,0.1762260112032555
Mossleigh AGCM,3.582644671334068,2.8682133505534795,0.6812344190356404,0.3944909778414156
Oyen AGDM,3.8643327282649826,2.8416388909849855,0.7151209876145095,0.48626314514572044
Patricia AGCM,3.421742671273337,2.5412693164828752,0.80289069497526,0.15471409247254417
Pollockville AGDM,3.413811076529506,2.656277948535151,0.7754029825825375,0.2110379062915462
Queenstown,3.715193347341137,2.807117282019721,0.730203074309232,0.31188346259803856
Rainier AGCM,3.7477569361055036,2.952796099148691,0.7102607430065798,0.32723054457528206
Ralston AGCM,3.1600369190962003,2.6256533628536594,0.8217654701288621,0.15726368531064092
Rolling Hills AGCM,4.356045038020955,3.6768428057432176,0.7438834361532142,0.14364735264258563
Rosemary IMCIN,2.6036931270315913,2.0715206847836574,0.8200902409857139,0.12362879236018248
Schuler AGDM,3.6570373508163283,2.759969376358721,0.6870616042876914,0.5846957800999157
Sedalia AGCM,2.8174088696380792,2.1570554331772858,0.8066223295407955,0.2095631898653944
Social Plains AGCM,3.37698333770433,2.998992415186432,0.796016475115247,0.1395038121978998
Standard AGCM,3.0610599847116156,2.492081743892696,0.7808008550374698,0.27849780246465794
Strathmore IMCIN,3.625105276024157,2.83117263764143,0.7898232300927706,0.18381316012804594
Sunnynook AGCM,3.776916995288725,3.0143302433399692,0.7666945937582234,0.17236538012696934
Tide Lake AGCM,4.390120163571433,3.4609631307009194,0.780376571415462,0.1553290046755815
Travers AGCM,3.7687177807809986,2.897724130252997,0.8272009698869698,0.23170338768648313
Verger AGCM,2.5155075972801577,2.0062431772136025,0.8030500738346928,0.23492686184090125
Vulcan AGCM,3.6172875737087153,2.7923471555941637,0.717913150631928,0.243657961224216
