,RMSE,MAE,Average Accuracy,Accuracy Deviation
Acadia Valley AGCM,4.511977608462117,3.5216250685043633,0.4854449483237635,1.0887893026754374
Atlee AGCM,5.441984881997323,4.383738462999463,0.6720866118049459,0.3522622537180274
Bassano AGCM,4.926180325808074,3.8481529323384165,0.6189507192767724,0.5093653227854509
Beiseker AGCM,5.255994070686709,4.28685464868322,-0.09461647543272385,2.0532963064040985
Buffalo AGCM,5.2145107230343255,3.9104712683707477,0.6844999018979395,0.3636869951334609
Bull Springs AGCM,5.295666888303714,4.236006423085928,0.7198285559463277,0.18505666160876552
Cabin Lake AGCM,4.481025551664138,3.4060030572116373,0.6663395023448366,0.34354591124959116
Cappon AGCM,5.132398465774547,4.304504030756652,-0.14128147399419635,2.1976076091921377
Cereal AGCM,5.077506575232129,4.030815180763602,0.6089257072152977,0.4376732647682921
Champion AGDM,5.942670052952615,4.609834982641042,0.31869838701945913,1.9136768289405093
Finnegan AGCM,4.550304633627559,3.916129083558917,0.26370556678986895,1.335574031936887
Homestead Coulee AGCM,5.756285552953063,4.827462780568749,0.1277961379365813,1.5084915684672056
Hussar AGDM,5.758458115080183,4.994524754583836,0.6914600491924757,0.2592683647594968
Iddesleigh AGCM,4.166133388713634,3.346780587360263,0.7470976571722843,0.2308245089875596
Lathom AGCM,4.983269096734244,3.697476278524846,0.34417182833428744,2.047068518586664
Mossleigh AGCM,6.365193268306713,5.235138357803225,0.5847013968620594,0.4022314327647122
Oyen AGDM,4.5787110967737945,3.6994822327047587,0.662152642450888,0.458863578125923
Patricia AGCM,5.182187036757489,4.404929384216667,0.4770623448506276,0.44992616069017344
Pollockville AGDM,4.836324195357161,3.8283886715769766,0.5657027626003954,0.5118728186176799
Queenstown,5.504495845367624,4.082880391180515,0.5260079810536411,0.6848669216994034
Rainier AGCM,5.814776598831088,4.012051646597683,0.4584903712060789,1.2486937156489115
Ralston AGCM,4.845137843115843,3.4483382903039455,0.77954922866188,0.17604067133155776
Rolling Hills AGCM,5.010927362289676,3.8469384968280793,0.633318800875201,0.43285375107137014
Rosemary IMCIN,3.998846363504665,3.060423321649432,0.6119845883092427,0.643335219297699
Schuler AGDM,6.8942984383453245,5.67717004660517,0.2486559882860467,0.9565081289339277
Sedalia AGCM,5.7132961248098315,4.084407320618629,0.4987721085843264,0.9383046058655591
Social Plains AGCM,4.464064933800913,3.6145642034709455,0.7474023371236973,0.18321630345513176
Standard AGCM,5.753937996577924,5.07269441280514,0.5003459457830168,0.7169832145739187
Strathmore IMCIN,5.12897878889651,3.5455232724547385,0.6799718202404363,0.3894916176545535
Sunnynook AGCM,6.0775527005173196,5.228827191889286,0.2926430125938746,0.8708070247101417
Tide Lake AGCM,4.353635524055657,3.740300485305488,0.5793713610921861,0.5781773097475164
Travers AGCM,6.409413686365892,5.0526437748223545,0.6201986889996862,0.5463029222837752
Verger AGCM,4.088938425091544,3.3868767589330675,0.6327617579870523,0.4216167051813437
Vulcan AGCM,6.763805850009903,5.283982829190791,0.07816684782785324,1.6596524607007441
