,RMSE,MAE,Average Accuracy,Accuracy Deviation
Acadia Valley AGCM,6.5140157712253215,5.332296122527785,0.5546040117923922,0.4860717401913897
Atlee AGCM,5.345301756148674,4.0777380099727045,0.7526481891148835,0.20520814293967907
Bassano AGCM,7.3950663830025265,5.800927538962828,0.45402921386422934,0.6729687113417135
Beiseker AGCM,8.15670286100767,5.479954210047921,0.38012326077163255,0.5712414543572216
Buffalo AGCM,4.911321383155842,4.046100148558617,0.7381346510091124,0.2208105112308583
Bull Springs AGCM,4.037757427963592,3.227008411039909,0.7556155412961291,0.22736417588006694
Cabin Lake AGCM,5.342487460524544,3.7288758692642054,0.7433106767886004,0.22417664440120927
Cappon AGCM,5.176596791031661,3.872916813277536,0.664024237643518,0.3257079301344777
Cereal AGCM,4.7628509418295195,3.3293643743627603,0.6587558860089344,0.42285908823309853
Champion AGDM,7.1953205349496425,5.852723144160377,0.4349971407219377,0.6563876143599964
Finnegan AGCM,7.23902460466787,5.080536985480123,0.6895126628825848,0.22560782237850502
Homestead Coulee AGCM,6.767523830382448,4.738201857523785,0.6578220814609511,0.27358294453285026
Hussar AGDM,7.018385039928953,5.4214040766159695,0.5875319810716176,0.52052542665656
Iddesleigh AGCM,5.442159288155422,4.35758764470617,0.7116281659871604,0.22975024921844175
Lathom AGCM,5.404692219094091,4.1717689201235775,0.7292362807861038,0.29467238377936766
Mossleigh AGCM,5.322437823754406,4.28633851301339,0.4336413235709663,0.6626900025965358
Oyen AGDM,4.940093919163486,3.8022713820139566,0.7004261961964627,0.33148768623650066
Patricia AGCM,4.613647839954976,3.644643868588739,0.7217800663471062,0.21814518364008392
Pollockville AGDM,5.111799424001767,3.5617560520768166,0.7446785504875593,0.23296300380691462
Queenstown,5.996177419489258,4.604945397749543,0.5043882974490624,0.6868299419718668
Rainier AGCM,5.092194215625417,3.9550885598278707,0.6216953483010572,0.48563132857028973
Ralston AGCM,4.864772608538495,3.994912670056025,0.7201240749238335,0.24104905039979377
Rolling Hills AGCM,4.493705144346599,3.508711540947358,0.7263144444165713,0.2622247168311262
Rosemary IMCIN,4.322438472558133,3.087301843530602,0.7593411337011178,0.19376553719161949
Schuler AGDM,5.111511281687385,4.476470730412338,0.5613833901331557,0.5006062327032836
Sedalia AGCM,5.0510227695800936,3.8872934968107278,0.6375532330675793,0.38002776391243265
Social Plains AGCM,3.7397050050964284,2.9461639899346563,0.8292996947254693,0.11065551765336906
Standard AGCM,6.605174276623422,5.0268361082817945,0.4272077005175744,0.8999241592663514
Strathmore IMCIN,6.331874157854528,4.523322743177414,0.7014038743800678,0.2637086831687383
Sunnynook AGCM,5.131227547550656,3.538954198029306,0.644830950672142,0.42591640884175
Tide Lake AGCM,5.439973282222929,4.494989798714717,0.6956610545371744,0.19050316434291345
Travers AGCM,6.21647314589676,5.056275937126743,0.6072239694049424,0.6398551970002356
Verger AGCM,4.910083900353345,3.592182090216213,0.7152861035990895,0.20554516181268354
Vulcan AGCM,6.103550684842872,4.94613900060455,0.3681140098526847,0.7748450806099533
