,RMSE,MAE,Average Accuracy,Accuracy Deviation
Acadia Valley AGCM,4.51564779420777,3.525387944281101,0.5896682674990961,0.5701464316540846
Atlee AGCM,3.84662954651493,3.055555682629347,0.776430868458072,0.18728105565076741
Bassano AGCM,4.7471612338548725,3.7317532200366257,0.7393769961568469,0.22509056844214456
Beiseker AGCM,5.089137481844292,3.6809626260073856,0.4506313691494845,0.981790378911721
Buffalo AGCM,4.612872200081963,3.678316227160394,0.6186484474643518,0.6341800407574465
Bull Springs AGCM,4.5135321493367,3.3234520342200993,0.781311349706049,0.1857917177357622
Cabin Lake AGCM,2.9020307196643866,2.3911914441734554,0.784625047076116,0.19718708771385124
Cappon AGCM,3.7293045143335886,2.571591384150088,0.6835925488604323,0.5510625720654262
Cereal AGCM,4.372534424803433,3.342407312244177,0.6819138207272121,0.41616155228209906
Champion AGDM,4.824515017443115,3.80878921803087,0.6653202274399425,0.5087518794559556
Finnegan AGCM,3.860176003664566,3.270096714515239,0.6924407083817794,0.22276293392333193
Homestead Coulee AGCM,4.492020575527301,3.6818839349783956,0.49039390256048954,0.8139449238013956
Hussar AGDM,5.969510933239509,5.0021388225257395,0.6705547983456674,0.34867001924486013
Iddesleigh AGCM,3.5593340259420634,2.8458859361708164,0.7805919152452732,0.17901264543753367
Lathom AGCM,3.7661416363439617,3.006934802699834,0.5287639159670086,1.3894161363478046
Mossleigh AGCM,4.657200823865615,3.7607137112878264,0.583472536487431,0.9212146249387597
Oyen AGDM,4.3295242860758405,3.2968112383037806,0.672793215704192,0.5014772029763827
Patricia AGCM,3.4210201642327296,2.8390912560746075,0.6215436724784198,0.5012383904302274
Pollockville AGDM,3.6871430169011075,2.976705032587051,0.7125878854571271,0.2589911380412769
Queenstown,3.9819850966738963,3.1504005576483904,0.6374966428199097,0.5994299085930167
Rainier AGCM,3.568912526436544,2.6081300999969246,0.6919267430786535,0.4687268479098684
Ralston AGCM,5.116559425817329,3.5792032800614835,0.7856463860019128,0.19183450599969845
Rolling Hills AGCM,4.2965066865669455,3.309922333061695,0.6751152536787557,0.4081594120131567
Rosemary IMCIN,3.4615150373282018,2.934652100130916,0.6592136281391862,0.35966041466215704
Schuler AGDM,5.094638805255088,4.264844052353874,0.04068568391352832,2.9703939290518306
Sedalia AGCM,4.523129070192601,3.3609052389860152,0.697441314351969,0.34848006929823716
Social Plains AGCM,3.250867808667821,2.7889000333845617,0.7920923432497954,0.15346082482904563
Standard AGCM,5.836449797575141,4.816580778174102,0.6100912159804291,0.5395889078544799
Strathmore IMCIN,4.434553706824468,2.803150100633502,0.818270873863803,0.15729318760324815
Sunnynook AGCM,5.338945525085996,4.4536009471863505,0.5348468490381832,0.5641653220387959
Tide Lake AGCM,3.7472150950002487,3.1755498055368663,0.7183733456369386,0.29195090928615036
Travers AGCM,5.338160966084034,4.133710292354226,0.7371836967543308,0.2773519721818255
Verger AGCM,3.92574201577023,3.3127348938956858,0.5375270839967697,1.0585817172057472
Vulcan AGCM,5.389505119629134,4.265211148560047,0.3586107973693475,1.161590377320871
