,RMSE,MAE,Average Accuracy,Accuracy Deviation
Acadia Valley AGCM,5.477685102322672,4.213434604182839,0.667678890412891,0.3439971647326568
Atlee AGCM,5.00291317076991,3.926887397799227,0.7323456840392887,0.37579268816343175
Bassano AGCM,6.277150317452674,4.8811011264721555,0.5563853256630766,0.5373484017608808
Beiseker AGCM,6.359606680837932,4.652786480237006,0.44646279114029697,0.550104551386768
Buffalo AGCM,4.546988052307928,3.6509846333828238,0.7791065169574151,0.15536471426413184
Bull Springs AGCM,3.7377645812637565,3.0817256253626613,0.7673115904504251,0.26897757942202344
Cabin Lake AGCM,3.939622433479817,3.0037754620114963,0.7386235693700637,0.26531786222910464
Cappon AGCM,4.358876022445522,3.336337139405724,0.5998357959257556,0.3954672779200212
Cereal AGCM,4.080423804502304,2.976831481854121,0.7480560309896818,0.2504588295138087
Champion AGDM,6.302666230518402,5.285188095250891,0.47767717637194607,0.7322148913035725
Finnegan AGCM,4.914091970872993,4.01757518115143,0.6682962295726069,0.2581807848425572
Homestead Coulee AGCM,4.798603043089699,3.487879166710708,0.7115841333704012,0.23216324487104956
Hussar AGDM,4.585157187500513,3.736976713480221,0.6901609719572954,0.5328328824064809
Iddesleigh AGCM,5.217604898366986,4.151344824416769,0.7174324552256063,0.3060171167463498
Lathom AGCM,4.388667290415688,3.615558784455061,0.709858738543129,0.29686093585276263
Mossleigh AGCM,4.103311724456461,3.2713464753909243,0.6741093832896483,0.33559503515929895
Oyen AGDM,3.9319344938602656,3.0539081063225035,0.629972222674096,0.7488764177634276
Patricia AGCM,4.2465181490694155,3.363527990463707,0.7159114661877393,0.1917312199637708
Pollockville AGDM,4.801229746314562,3.6940325029194354,0.7413336151138685,0.17382480640504375
Queenstown,5.919286729479822,4.849428754175703,0.5552667106894009,0.42357968523799006
Rainier AGCM,4.117871871950314,3.266799200947086,0.7340086371615748,0.22550270733977118
Ralston AGCM,4.31453244067028,3.544862532450093,0.7758470078150509,0.15089916677428486
Rolling Hills AGCM,4.548543650052015,3.3422865296403566,0.7582922920135815,0.23496776563825633
Rosemary IMCIN,4.17227006228067,3.2326778983076414,0.7358460991160725,0.2026430875005303
Schuler AGDM,4.5506659822988365,3.6433426099518935,0.5929305515549917,0.4842117946215742
Sedalia AGCM,4.864837738079328,3.4586020867443747,0.6807418832397611,0.4110728381321519
Social Plains AGCM,3.4978213796262243,2.757704527841674,0.8291737651535811,0.1327695257705191
Standard AGCM,5.78366307260727,4.813097304281675,0.5032426438244397,0.5417040094383535
Strathmore IMCIN,4.799810973716403,3.6221534635043806,0.6761140211116847,0.4015887016320032
Sunnynook AGCM,4.2810115832726705,3.233263767717613,0.6773206632918223,0.35306170578373286
Tide Lake AGCM,4.86530471912536,3.785529282150997,0.7132304385666836,0.3010792321851235
Travers AGCM,5.108918235972201,4.025303570181132,0.6527277592850468,0.5458119677968861
Verger AGCM,3.860285248697878,2.825911010770748,0.686935169730282,0.4869985008831151
Vulcan AGCM,4.418488616559308,3.5757239875694116,0.5388506264566169,0.4924136995083366
